gtfs_stop_,station_id,complex_id,division,line,stop_name,borough,cbd,daytime_ro,structure,gtfs_latit,gtfs_longi,north_dire,south_dire,ada,ada_northb,ada_southb,ada_notes
"230",333.0000000000000000000000000000000,333.0000000000000000000000000000000,IRT,Clark St,Wall St,M,true,2 3,Subway,40.7068209999999979231688485015184,-74.0091000000000036607161746360362,Uptown,Brooklyn,"0","0","0",
"231",334.0000000000000000000000000000000,334.0000000000000000000000000000000,IRT,Clark St,Clark St,Bk,false,2 3,Subway,40.6974659999999985870999807957560,-73.9930860000000052423274610191584,Manhattan,Outbound,"0","0","0",
"632",403.0000000000000000000000000000000,403.0000000000000000000000000000000,IRT,Lexington Av,33 St,M,true,"6",Subway,40.7460809999999966635186865460128,-73.9820760000000063882907852530479,Uptown,Downtown,"0","0","0",
"418",412.0000000000000000000000000000000,628.0000000000000000000000000000000,IRT,Lexington Av,Fulton St,M,true,4 5,Subway,40.7103680000000025529516278766096,-74.0095089999999942165231914259493,Uptown,Downtown,"1","1","1",
"419",413.0000000000000000000000000000000,413.0000000000000000000000000000000,IRT,Lexington Av,Wall St,M,true,4 5,Subway,40.7075570000000013237695384304971,-74.0118619999999935998857836239040,Uptown,Downtown,"0","0","0",
"420",414.0000000000000000000000000000000,414.0000000000000000000000000000000,IRT,Lexington Av,Bowling Green,M,true,4 5,Subway,40.7048169999999984725036483723670,-74.0140650000000022146195988170803,Uptown,Downtown,"1","1","1",
"423",415.0000000000000000000000000000000,620.0000000000000000000000000000000,IRT,Eastern Pky,Borough Hall,Bk,false,4 5,Subway,40.6924040000000033501237339805812,-73.9901509999999973388185026124120,Manhattan,Outbound,"2","1","0",Manhattan-bound only
"719",462.0000000000000000000000000000000,606.0000000000000000000000000000000,IRT,Flushing,Court Sq,Q,false,"7",Elevated,40.7470229999999986603143042884767,-73.9452639999999945530362310819328,Outbound,Manhattan,"1","1","1",
"720",463.0000000000000000000000000000000,463.0000000000000000000000000000000,IRT,Flushing,Hunters Point Av,Q,false,"7",Subway,40.7422159999999990986907505430281,-73.9489159999999969841155689209700,Outbound,Manhattan,"0","0","0",
"721",464.0000000000000000000000000000000,464.0000000000000000000000000000000,IRT,Flushing,Vernon Blvd-Jackson Av,Q,false,"7",Subway,40.7426260000000013405951904132962,-73.9535809999999997899067238904536,Outbound,Manhattan,"0","0","0",
"726",471.0000000000000000000000000000000,471.0000000000000000000000000000000,IRT,Flushing,34 St-Hudson Yards,M,true,"7",Subway,40.7558819999999997207851265557110,-74.0019099999999951933205011300743,Last Stop,Queens,"1","1","1",
Q05,475.0000000000000000000000000000000,475.0000000000000000000000000000000,IND,Second Av,96 St,M,false,Q,Subway,40.7843179999999989604475558735430,-73.9471520000000026584530132822692,Last Stop,Downtown,"1","1","1",
Q04,476.0000000000000000000000000000000,476.0000000000000000000000000000000,IND,Second Av,86 St,M,false,Q,Subway,40.7778909999999967794792610220611,-73.9517869999999959418346406891942,Uptown,Downtown,"1","1","1",
S31,501.0000000000000000000000000000000,501.0000000000000000000000000000000,SIR,Staten Island,St George,SI,false,SIR,Open Cut,40.6437480000000022073436412028968,-74.0736429999999899109752732329071,Last Stop,South Shore,"1","1","1",
