station_complex,time_period,period_hrs,ridership,avg_hourly_ridership
"South Ferry (1)/Whitehall St (R,W)",AM peak,4,1061769,265442.25
"South Ferry (1)/Whitehall St (R,W)",Evening,4,577364,144341
"South Ferry (1)/Whitehall St (R,W)",Midday,6,1710117,285019.5
"South Ferry (1)/Whitehall St (R,W)",Overnight,7,237233,33890.42857142857
"South Ferry (1)/Whitehall St (R,W)",PM peak,3,1617088,539029.3333333334
Vernon Blvd-Jackson Av (7),AM peak,4,942859,235714.75
Vernon Blvd-Jackson Av (7),Evening,4,391056,97764
Vernon Blvd-Jackson Av (7),Midday,6,997615,166269.16666666666
Vernon Blvd-Jackson Av (7),Overnight,7,113351,16193
Vernon Blvd-Jackson Av (7),PM peak,3,694743,231581
WTC Cortlandt (1),AM peak,4,423698,105924.5
WTC Cortlandt (1),Evening,4,275276,68819
WTC Cortlandt (1),Midday,6,833577,138929.5
WTC Cortlandt (1),Overnight,7,63126,9018
WTC Cortlandt (1),PM peak,3,789306,263102
"Wall St (2,3)",AM peak,4,364196,91049
"Wall St (2,3)",Evening,4,437503,109375.75
"Wall St (2,3)",Midday,6,917366,152894.33333333334
"Wall St (2,3)",Overnight,7,100098,14299.714285714286
"Wall St (2,3)",PM peak,3,1278565,426188.3333333333
"Wall St (4,5)",AM peak,4,394528,98632
"Wall St (4,5)",Evening,4,342645,85661.25
"Wall St (4,5)",Midday,6,897734,149622.33333333334
"Wall St (4,5)",Overnight,7,87243,12463.285714285714
"Wall St (4,5)",PM peak,3,1001086,333695.3333333333
York St (F),AM peak,4,296490,74122.5
York St (F),Evening,4,478702,119675.5
York St (F),Midday,6,820014,136669
York St (F),Overnight,7,90441,12920.142857142857
York St (F),PM peak,3,835700,278566.6666666667
